race_id,horse_name,snapshot_label,odds,favorite_rank,available_at,bet_time,race_start_at,captured_at,plain_odds_role,plain_odds_ambiguous,available_at_ts,bet_time_ts,race_start_ts,available_at_bet_time,final_market_odds,post_market_info,closing_odds_contamination
202403010110,オックスリップ,ambiguous,7.3,,,,,,,True,,,,False,False,True,False
202403010111,ロッシュローブ,ambiguous,18.3,,,,,,,True,,,,False,False,True,False
202403010202,エガオニナッテ,ambiguous,11.4,,,,,,,True,,,,False,False,True,False
202403010204,テイエムマジック,ambiguous,12.3,,,,,,,True,,,,False,False,True,False
202403010205,パイントレイン,ambiguous,35.4,,,,,,,True,,,,False,False,True,False
202403010206,スマートレパード,ambiguous,7.6,,,,,,,True,,,,False,False,True,False
202403010208,ヤングローゼス,ambiguous,6.7,,,,,,,True,,,,False,False,True,False
202403010211,モリノドリーム,ambiguous,10.2,,,,,,,True,,,,False,False,True,False
202403010212,フェスティヴビーム,ambiguous,27.9,,,,,,,True,,,,False,False,True,False
202403010301,エコロカイザー,ambiguous,7.3,,,,,,,True,,,,False,False,True,False
202403010302,ポリトナリティー,ambiguous,17.5,,,,,,,True,,,,False,False,True,False
202403010303,ニシノレヴィガータ,ambiguous,24.6,,,,,,,True,,,,False,False,True,False
202403010304,ユズノキ,ambiguous,28.9,,,,,,,True,,,,False,False,True,False
202403010305,ヴァシロペス,ambiguous,20.5,,,,,,,True,,,,False,False,True,False
202403010309,モズトキキ,ambiguous,6.7,,,,,,,True,,,,False,False,True,False
202403010311,サニーサフラン,ambiguous,7.8,,,,,,,True,,,,False,False,True,False
202403010402,ビーンスターク,ambiguous,19.9,,,,,,,True,,,,False,False,True,False
202403010404,ソルドラード,ambiguous,14.6,,,,,,,True,,,,False,False,True,False
202403010405,ウインチェレステ,ambiguous,20.0,,,,,,,True,,,,False,False,True,False
202403010407,ラナキラ,ambiguous,9.5,,,,,,,True,,,,False,False,True,False
202403010408,ジャクソン,ambiguous,18.1,,,,,,,True,,,,False,False,True,False
202403010410,メイショウウネビ,ambiguous,7.7,,,,,,,True,,,,False,False,True,False
202403010502,ジークフリート,ambiguous,17.1,,,,,,,True,,,,False,False,True,False
202403010504,ローディアマント,ambiguous,29.3,,,,,,,True,,,,False,False,True,False
202403010505,ワールドスケール,ambiguous,11.5,,,,,,,True,,,,False,False,True,False
202403010506,ヴィクトリオン,ambiguous,43.2,,,,,,,True,,,,False,False,True,False
202403010507,ラドロテア,ambiguous,9.4,,,,,,,True,,,,False,False,True,False
202403010509,ライクアフラワー,ambiguous,14.1,,,,,,,True,,,,False,False,True,False
202403010511,グランベルナデット,ambiguous,6.2,,,,,,,True,,,,False,False,True,False
202403010602,メイショウミリオレ,ambiguous,4.7,,,,,,,True,,,,False,False,True,False
202403010603,アドマイヤポーシュ,ambiguous,23.8,,,,,,,True,,,,False,False,True,False
202403010604,アルマドラード,ambiguous,6.6,,,,,,,True,,,,False,False,True,False
202403010605,ビキニオンザビーチ,ambiguous,17.0,,,,,,,True,,,,False,False,True,False
202403010607,ニシノアヤカゼ,ambiguous,9.8,,,,,,,True,,,,False,False,True,False
202403010612,ヴェッキオカズマ,ambiguous,42.2,,,,,,,True,,,,False,False,True,False
202403020101,リレーションシップ,ambiguous,13.0,,,,,,,True,,,,False,False,True,False
202403020102,ユズノキ,ambiguous,46.7,,,,,,,True,,,,False,False,True,False
202403020104,ピンポイントドロー,ambiguous,31.6,,,,,,,True,,,,False,False,True,False
202403020105,ナックオリオン,ambiguous,75.0,,,,,,,True,,,,False,False,True,False
202403020106,ニシノケンタマン,ambiguous,8.0,,,,,,,True,,,,False,False,True,False
202403020107,ゼフィールエレ,ambiguous,14.4,,,,,,,True,,,,False,False,True,False
202403020109,サハラ,ambiguous,55.3,,,,,,,True,,,,False,False,True,False
202403020201,メロンパンマニア,ambiguous,50.4,,,,,,,True,,,,False,False,True,False
202403020204,ユアグローリー,ambiguous,12.2,,,,,,,True,,,,False,False,True,False
202403020207,クラッチプレイヤー,ambiguous,6.6,,,,,,,True,,,,False,False,True,False
202403020209,ミズノコキュウ,ambiguous,35.3,,,,,,,True,,,,False,False,True,False
202403020211,サトノシュトラーセ,ambiguous,5.1,,,,,,,True,,,,False,False,True,False
202403020301,トリリオンボーイ,ambiguous,33.2,,,,,,,True,,,,False,False,True,False
